"Laikotarpis","Rodiklis","Apskritys","Lytis","Amžius (15–24 ir vyresni)","Matavimo vienetai","Reikšmė"
"2009","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","29.6"
"2010","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","35.7"
"2011","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","32.6"
"2012","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","26.7"
"2013","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","21.9"
"2014","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","19.3"
"2015","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","16.3"
"2016","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","14.5"
"2017","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","13.3"
"2018","Nedarbo lygis","Lietuvos Respublika","Vyrai ir moterys","15–24","proc.","11.1"
"2009","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","29.3"
"2010","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","31.4"
"2011","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","28.4"
"2012","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","22.3"
"2013","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","13.9"
"2014","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","14.5"
"2015","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","11.1"
"2016","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","9.9"
"2017","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","7.1"
"2018","Nedarbo lygis","Vilniaus apskritis","Vyrai ir moterys","15–24","proc.","5.8"
"2009","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","32.1"
"2010","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","43.5"
"2011","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","47.0"
"2012","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","29.2"
"2013","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","32.4"
"2014","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","41.6"
"2015","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","32.6"
"2016","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","32.2"
"2017","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","22.6"
"2018","Nedarbo lygis","Alytaus apskritis","Vyrai ir moterys","15–24","proc.","23.5"
"2009","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","25.1"
"2010","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","28.5"
"2011","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","24.3"
"2012","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","22.9"
"2013","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","19.2"
"2014","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","14.5"
"2015","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","12.9"
"2016","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","13.6"
"2017","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","9.9"
"2018","Nedarbo lygis","Kauno apskritis","Vyrai ir moterys","15–24","proc.","11.7"
"2009","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","28.0"
"2010","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","36.1"
"2011","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","28.7"
"2012","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","18.4"
"2013","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","13.0"
"2014","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","12.3"
"2015","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","10.8"
"2016","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","11.9"
"2017","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.","9.3"
"2018","Nedarbo lygis","Klaipėdos apskritis","Vyrai ir moterys","15–24","proc.",
"2009","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","25.1"
"2010","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","38.9"
"2011","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","22.5"
"2012","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","32.5"
"2013","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","32.2"
"2014","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","26.5"
"2015","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","15.4"
"2016","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.",
"2017","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.",
"2018","Nedarbo lygis","Marijampolės apskritis","Vyrai ir moterys","15–24","proc.","9.6"
