"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","3183856"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","3141976"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","3052588"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","3003641"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2971905"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2943472"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2921262"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2888558"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2847904"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2808901"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2794184"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","826445"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","824193"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","811515"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","805915"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","806308"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","806106"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","807523"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","805380"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","805173"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","805367"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","810538"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","826445"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","824193"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","811515"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","805915"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","806308"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","806106"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","807523"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","805380"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","805173"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","805367"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","810538"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2357411"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2317783"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2241073"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2197726"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2165597"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2137366"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2113739"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2083178"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2042731"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2003534"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1983646"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","167603"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","164833"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","158403"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","154980"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","152139"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","149851"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","147809"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","145109"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","141616"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","138095"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135906"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","638385"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","629896"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","610225"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","599638"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","592816"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","587238"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","583047"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","577358"
